lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[MIND],55.0,59.0,53.0,61.0,58.0,109.0,62.0,65.0,81.0,67.0,47.0,40.0,61.0,29.0,39.0,40.0,10.0,23.0,13.0,972.0
[NAME],32.0,45.0,50.0,44.0,53.0,33.0,54.0,45.0,50.0,30.0,39.0,32.0,40.0,30.0,15.0,17.0,18.0,12.0,17.0,656.0
[WITNESS],40.0,23.0,29.0,25.0,22.0,22.0,26.0,51.0,25.0,25.0,18.0,13.0,14.0,8.0,4.0,13.0,8.0,8.0,7.0,381.0
[FRUIT],4.0,37.0,56.0,33.0,24.0,23.0,19.0,22.0,21.0,26.0,10.0,16.0,15.0,17.0,5.0,13.0,9.0,9.0,3.0,362.0
[RESEMBLANCE],28.0,20.0,25.0,21.0,24.0,22.0,19.0,8.0,34.0,17.0,22.0,14.0,16.0,8.0,9.0,10.0,14.0,18.0,14.0,343.0
[BURDEN],10.0,10.0,18.0,28.0,29.0,18.0,16.0,19.0,10.0,17.0,12.0,11.0,9.0,3.0,11.0,12.0,4.0,10.0,8.0,255.0
[CHILD],6.0,3.0,3.0,6.0,3.0,6.0,5.0,29.0,17.0,13.0,6.0,22.0,25.0,26.0,11.0,30.0,20.0,9.0,14.0,254.0
[MAN],16.0,24.0,19.0,16.0,10.0,22.0,16.0,9.0,11.0,25.0,3.0,12.0,10.0,9.0,8.0,11.0,3.0,3.0,10.0,237.0
[TESTIMONY],36.0,36.0,26.0,23.0,21.0,19.0,14.0,13.0,11.0,7.0,3.0,5.0,3.0,4.0,1.0,1.0,0.0,1.0,0.0,224.0
[RELATION],4.0,18.0,27.0,11.0,14.0,10.0,13.0,11.0,22.0,18.0,18.0,8.0,10.0,3.0,4.0,3.0,6.0,3.0,2.0,205.0
[ARM],20.0,15.0,17.0,14.0,18.0,10.0,6.0,19.0,8.0,4.0,4.0,6.0,21.0,5.0,3.0,6.0,10.0,3.0,5.0,194.0
[PART],31.0,14.0,14.0,25.0,16.0,12.0,18.0,18.0,8.0,7.0,8.0,5.0,2.0,4.0,2.0,1.0,3.0,1.0,1.0,190.0
[WEIGHT],8.0,10.0,7.0,19.0,9.0,14.0,8.0,9.0,8.0,14.0,7.0,4.0,2.0,5.0,5.0,4.0,4.0,4.0,7.0,148.0
[MARKS],16.0,16.0,13.0,15.0,15.0,6.0,11.0,18.0,4.0,2.0,3.0,1.0,1.0,5.0,1.0,3.0,4.0,1.0,2.0,137.0
[QUESTION],9.0,20.0,8.0,9.0,11.0,13.0,8.0,7.0,8.0,5.0,2.0,4.0,3.0,3.0,0.0,0.0,1.0,6.0,0.0,117.0
[LIFE],8.0,5.0,10.0,7.0,10.0,9.0,3.0,14.0,7.0,12.0,6.0,6.0,2.0,1.0,1.0,4.0,1.0,3.0,2.0,111.0
[INTEREST],5.0,14.0,5.0,7.0,16.0,14.0,9.0,3.0,1.0,7.0,4.0,11.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,103.0
[PROPORTION],11.0,17.0,15.0,16.0,14.0,9.0,9.0,2.0,5.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,103.0
[TITLE],6.0,7.0,3.0,8.0,5.0,10.0,8.0,4.0,7.0,4.0,10.0,5.0,6.0,4.0,3.0,4.0,2.0,1.0,5.0,102.0
[THING],14.0,9.0,5.0,6.0,7.0,9.0,5.0,4.0,16.0,8.0,4.0,7.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,102.0
[HAND],6.0,15.0,13.0,7.0,8.0,7.0,9.0,8.0,3.0,7.0,4.0,1.0,5.0,2.0,1.0,2.0,1.0,1.0,0.0,100.0
[SUBJECT],11.0,7.0,19.0,9.0,7.0,11.0,6.0,9.0,6.0,4.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,97.0
[POINT],9.0,10.0,12.0,8.0,7.0,7.0,1.0,4.0,6.0,2.0,3.0,1.0,5.0,3.0,3.0,1.0,2.0,1.0,0.0,85.0
[THINK],2.0,7.0,3.0,8.0,6.0,7.0,7.0,9.0,2.0,5.0,4.0,6.0,1.0,3.0,3.0,4.0,3.0,2.0,3.0,85.0
